#Mass	 #Pos	 #RadialVel	 #TransVel	 #Potential
   0.0010	    0.1152	    0.0884	   -1.0554	   -0.0014
   0.0010	    0.1304	    0.1235	    1.1123	   -0.0015
   0.0010	    0.1497	    0.0859	   -0.3566	   -0.0016
   0.0010	    0.1592	   -0.1412	   -0.6233	   -0.0018
   0.0010	    0.1668	    0.5748	    0.3604	   -0.0018
   0.0010	    0.1887	   -0.3463	   -0.3066	   -0.0035
   0.0010	    0.1893	    0.2095	   -0.8200	   -0.0035
   0.0010	    0.1959	   -0.3490	    0.7998	   -0.0028
   0.0010	    0.1973	   -0.3427	   -0.6880	   -0.0028
   0.0010	    0.2028	    0.6239	   -0.2996	   -0.0022
   0.0010	    0.2127	    0.5948	    0.4134	   -0.0021
   0.0010	    0.2272	   -0.0874	    0.6585	   -0.0021
   0.0010	    0.2420	    0.4275	   -0.3900	   -0.0027
   0.0010	    0.2446	    0.1339	    0.4324	   -0.0028
   0.0010	    0.2511	    0.4835	    0.2474	   -0.0029
   0.0010	    0.2551	    0.2170	   -0.2855	   -0.0033
   0.0010	    0.2580	    0.3985	   -0.7189	   -0.0045
   0.0010	    0.2587	    0.1230	   -0.9066	   -0.0045
   0.0010	    0.2641	   -0.5796	   -0.1890	   -0.0039
   0.0010	    0.2654	   -0.4885	    0.2324	   -0.0039
   0.0010	    0.2687	   -0.4748	    0.4227	   -0.0042
   0.0010	    0.2697	    0.0581	   -0.8396	   -0.0041
   0.0010	    0.2742	   -0.1305	   -0.4417	   -0.0031
   0.0010	    0.2854	    0.5593	    0.6548	   -0.0032
   0.0010	    0.2907	   -0.0988	    0.5096	   -0.0064
   0.0010	    0.2911	   -0.2083	   -0.4322	   -0.0068
   0.0010	    0.2921	   -0.6524	    0.3166	   -0.0053
   0.0010	    0.2935	   -0.0851	    0.1131	   -0.0047
   0.0010	    0.2960	   -0.2882	    0.3089	   -0.0039
   0.0010	    0.3007	    0.5335	   -0.9499	   -0.0036
   0.0010	    0.3054	    0.1983	   -0.6757	   -0.0045
   0.0010	    0.3067	    0.2923	   -0.5006	   -0.0056
   0.0010	    0.3074	   -0.5302	   -0.1490	   -0.0056
   0.0010	    0.3087	   -0.4432	    0.8252	   -0.0044
   0.0010	    0.3166	   -0.4812	    0.5216	   -0.0032
   0.0010	    0.3222	   -0.1465	    0.5181	   -0.0031
   0.0010	    0.3311	    0.2816	    0.8840	   -0.0058
   0.0010	    0.3315	    0.4502	   -0.4595	   -0.0058
   0.0010	    0.3454	    0.0045	    0.3930	   -0.0061
   0.0010	    0.3459	    0.0412	   -0.5731	   -0.0066
   0.0010	    0.3467	   -0.2728	   -0.4279	   -0.0052
   0.0010	    0.3497	    0.4873	    0.4882	   -0.0038
   0.0010	    0.3566	   -0.1104	   -0.8624	   -0.0065
   0.0010	    0.3569	   -0.2466	   -0.5953	   -0.0065
   0.0010	    0.3612	    0.0658	    0.8762	   -0.0036
   0.0010	    0.3722	   -0.4987	    0.3622	   -0.0075
   0.0010	    0.3725	   -0.2092	    0.2364	   -0.0077
   0.0010	    0.3737	    0.2706	   -0.6604	   -0.0052
   0.0010	    0.3764	    0.5541	   -0.5782	   -0.0046
   0.0010	    0.3792	   -0.2493	   -0.6859	   -0.0059
   0.0010	    0.3798	   -0.2304	    0.6945	   -0.0058
